name,bio
EKSMAN,"Eksman is a renowned MC in the drum and bass genre, specifically known for his fast-paced and engaging live performances within the jump-up and jungle sub-genres."
ELIANE CORREA,A dynamic Latin jazz musician weaving Afro-Cuban rhythms with contemporary world music elements.
ELIZA ROSE,Armed with a hybrid DJ-plus-vocals show paying homage to queer culture’s importance in dance music.
ELKKA,"A euphoric and celebratory performer with a radiant blend of classic house, breakbeat and experimental electronica."
ELLA KNIGHT ,Emerging singer blending contemporary R&B with soulful jazz influences.
ELLES BAILEY,"Smokey voiced, multiple UK Blues and Americana Awards winner at the forefront of the British blues and roots scene."
ELLIE STOKES,"A UK-based DJ making waves with her dynamic sets that span house, techno, and electro, known for her energetic and eclectic approach."
EMERALD,"An eclectic DJ and broadcaster, Emerald's sets traverse house, techno, and bass, known for their high energy and diverse musical influences."
EMILY MAKIS,"Emily Makis brings a soulful touch to electronic music, particularly within the drum and bass genre, with her distinctive, emotive vocals."
EMMA JEAN-THACKRAY,"Emma Jean-Thackray is a prominent figure in the modern jazz scene. Her work often blends jazz with electronic music, funk, and psychedelic elements, resulting in a fresh and innovative sound that respects traditional jazz while pushing its boundaries."
EMMA KORANTEMA,"Multi-genre DJ blending afro-derivative genres such as Afrohouse, Broken beat, Baile funk, EDM, Garage, Grime, Groove, Highlife, and Juke with a unique ""hard-but-soft chaotic catharsis"" style."
EMMA-JEAN THACKRAY,"Emma-Jean Thackray is a British jazz musician, known for her innovative approach to jazz that blends elements of traditional jazz with electronic music, funk, and psychedelic influences. Her work often features multi-layered compositions and she is recognized as a rising star in the contemporary jazz scene."
EMZ,Former fitness instructor bringing hyper energy to the decks.
ENGLISH TEACHER,"Providing a stinging, incisive sociopolitical critique nestled next to the kitchen sink drama of the real world."
ENTITY,Synthesiser / sequencer programmer who started his career as a session guitarist in a West End cabaret and composer for the Atmosphere (2) label.
ENZO SIRAGUSA,"A pivotal figure in the UK's underground house scene, renowned for his deep, hypnotic grooves and as the founder of Fuse London."
ERIC PRYDZ,"Eric Prydz is a Swedish DJ and producer known for his contributions to progressive house and techno. He gained widespread recognition for hits like 'Call on Me' and 'Pjanoo,' and has performed under various aliases, including Pryda and Cirez D, showcasing his versatility in electronic dance music."
EROL ALKAN,"Erol Alkan is a renowned DJ and producer known for his eclectic style which blends elements of alternative dance, electro, and house music. He is also the founder of the Phantasy Sound label."
EVA LAZARUS,"Versatile vocalist from the UK, renowned for her fusion of reggae, jungle, and hip-hop"
FACTA,"Facta is a UK-based producer and DJ, recognized for his contributions to the underground electronic music scene, particularly in the realms of dubstep and techno."
FACTA & K LONE,"The Wisdom Teeth label bosses weaving hypnotic techno, garage and electro."
FAFF,"Opening the celebration of Body Movements with production duo Faff and their mix of house, techno, disco, funk and soul."
FAITHLESS,"Legendary dance outfit return to the stage after an eight year hiatus, expect anthems galore."
FANTASTIC MAN,"An Australian DJ and producer known for his eclectic, leftfield house and techno mixes that incorporate elements of jazz, soul, and world music."
FAT DOG,"Electrifying South Londoners proving impossible to pigeonhole with their mix of dance, punk, klezmer and just about everything else."
FAT TONY,"Fat Tony is a prominent figure in the house music scene, known for his dynamic DJ sets that blend classic house with contemporary electronic dance music."
FAT WHITE FAMILY,Celebrating the release of their fourth album ‘Forgiveness Is Yours’ in a typically unpredictable post punk psychedelic avant-garage style.
FATBOY SLIM,"90s Big beat innovator, party legend, dabbling in big tunes across all genres from trip hop and new funk to electronica."
FELIX DICKINSON,"A veteran DJ in the UK house scene, famous for his eclectic selections spanning house, disco, and techno."
FEMI KUTI,The son of legendary Nigerian Afrobeat innovator Fela Kuti cutting his own unique mix of funky sax-laded Afro jazz.
FISH56OCTAGON,Emerging artist blending elements of experimental electronica and ambient soundscapes.
FIZZ,"Described as psychedelic, maximalist, and theatrical, often drawing inspiration from past icons."
FLOWEROVLOVE,Earth-conscious teenage singer songwriter with a nod to her West African heritage.
FLYTE,Perfectly crafted storytelling with luxurious harmonic arrangements from Will Taylor and Nick Hill.
FONTAINES D.C.,"The Dublin quintet headline the stage, perfectly  illustrating their elevation from post-punk angst to indie-pop, rave, and anthem-friendly stadium rock."
FONTE,"An innovative producer and DJ blending deep house with melodic techno, creating immersive and atmospheric soundscapes."
FRANCESCO DEL GARDA,"An Italian DJ acclaimed for his seamless blending of minimal house and techno, known for his meticulous selection and deep, groovy sets."
FRANK TURNER,Pioneering punk-rock road-warrior fresh from his tenth album still bestowing fire and passion for all.
FRANKIE ARCHER,"Electrofolk extrovert shaking up genres and traditions, challenging perspectives in an extraordinary flux of genres."
FRANÇOIS K,"François K is a legendary figure in the electronic and dance music scenes. He is one of the pioneers of the New York City dance music scene and is known for his influential work in house, techno, and electronic music. François K's DJ sets and productions are often characterized by deep, soulful vibes and innovative mixing techniques."
FREAKENSTIEN,"A-Future, Adam Shelton's alias, offers deep electro, acid, and intricate drum mixes. Transporting listeners through alien soundscapes."
FREETOWN COLLECTIVE,"Freetown Collective is a music group from Trinidad and Tobago that blends a variety of genres including reggae, hip-hop, and soca, creating a distinct sound that speaks to both local and global audiences."
FRICTION,"Renowned for his rapid-fire DJ sets, Friction is a leading drum and bass producer and radio host pushing the genre's boundaries."
FULU MIZIKI,"Fulu Miziki is an eco-friendly collective from the Democratic Republic of Congo, creating instruments from recycled materials. Their music blends traditional African rhythms with a modern, avant-garde approach."
FUNKE AND THE TWO TONE BABY,"Funke And The Two Tone Baby is the musical project of Dan Turnbull, known for blending blues, indie, and electronic music. His performances often feature live looping and a high-energy delivery."
GABRIELLE KWARTENG,"New York-born and Berlin-based DJ whose eclectic sets incorporate house, techno, Afrobeat, and disco, reflecting her deep musical knowledge and diverse influences."
GARDNA,"Gardna is a versatile artist within the UK bass music scene, known for his vocal performances that blend elements of dub, reggae, and hip-hop. His work often features collaborations with other prominent figures in the bass music community."
GARRETT DAVID,"Garrett David is a Chicago-based DJ and producer specializing in house music. He is known for his deep, soulful grooves and contributions to the city's vibrant underground dance music scene."
GECKO,"Gecko is known for his witty and playful approach to songwriting. Blending elements of folk, pop, and spoken word, his music often features clever lyrics, catchy melodies, and a light-hearted tone."
GENE,"Gene was a British alternative rock band that emerged in the mid-1990s, often fitting into the Britpop movement with their introspective lyrics and melodic guitar-driven sound."
GENE ON EARTH,"Gene On Earth is known for his cosmic and minimal house tracks, often characterized by groovy basslines, spaced-out melodies, and stripped-back beats. His music has a distinct underground vibe that appeals to electronic music connoisseurs."
GHETTS,"British grime and rap star and NASTY Crew member celebrated for his hard hitting lyrics and intricate, poetic phrasing."
GIPSY KINGS,"Gipsy Kings are renowned for their contributions to the genre of flamenco, blended with pop and Latin rhythms, creating a unique style often referred to as 'Rumba Gitana'."
GIRLBAND!,Alternative three-piece pulling on influences from the 50s to the present day to create their own distinctive sound.
GIRLS DON'T SYNC,"This dynamic all-female DJ collective is known for their high-energy sets that blend house, techno, and UK garage with a feminist edge."
GIRLS NEXT DOOR,"High energy bass heavy trio featuring award winning MC Maddy V, DJ Ms Pink and vocalist Mila Falls"
GIRLS OF THE INTERNET,"Girls Of The Internet is a genre-blending project that combines elements of house, soul, and electronic music, known for their experimental approach and engaging productions."
GIYA,"Giya is an emerging artist in the electronic music scene, blending elements of house, techno, and ambient music. Her soundscapes are often richly textured, creating an immersive listening experience that is both deep and uplifting."
GOK WAN,"Channelling his love of soulful, uplifting house in an uplifting and stylish way of course."
GOLDIE,"A legend in drum and bass, Goldie is renowned for his pioneering work in the genre, blending intricate breakbeats with orchestral and jazz influences."
GORGON CITY,"Renowned electronic house duo with a new album, ‘Reverie’ set for release next month."
GORGON SOUND,"Known for their deep and heavy basslines, Gorgon Sound specializes in dubstep and sound system culture, creating immersive and atmospheric tracks."
GOSSIP,Reunited after 12 years with a Rick Rubin-produced album and heading for an upbeat electronic dance party in your mind.
GOTSOME,"Gotsome is a house and bass music duo from the UK, known for their energetic tracks that blend elements of house, bassline, and tech house."
GRACE CARTER,Emotive British singer songwriter with a voice to break and mend hearts.
GRACE PETRIE,"More than a decade after first emerging, the protest singer, LGBTQ+ activist, comedy audience favourite and folk star returns."
GRACIE T,"Gracie T is a DJ and producer from the UK who excels in genre-spanning sets that mix UK garage, grime, and bassline with modern electronic twists."
GRANT SHOWBIZ,"Grant Showbiz is a renowned British record producer and live sound engineer, recognized for his influential work in the post-punk and alternative rock genres. He has collaborated with iconic bands such as The Fall and The Smiths."
GREG BELSON,"Greg Belson is celebrated in the realm of Gospel Soul, a subgenre that melds aspects of soul music with gospel influences, often featuring powerful, emotive vocal performances."
GROOVE ARMADA,"British electronic music duo known for their eclectic blend of house, big beat, and chill-out music."
GROVE,"Brooding bass, chopped-up vocals and dark, hypnotic rhythms."
GUY CHAMBERS,"Guy Chambers is best known for his work as a songwriter and producer, particularly in the pop and rock genres. He has collaborated extensively with Robbie Williams, contributing to some of his biggest hits."
GUY.IN.GLASSES,"Afro electronic dance producer/DJ, playing Afrotech, Afrohouse, deep house and Amapiano all afternoon."
HAAI,"An Australian-born, London-based DJ and producer recognized for her eclectic sets and productions that blend psychedelic elements with house and techno."
HAGAN,"Hagan is known for his Afrobeat and UK Funky style, blending African rhythmic influences with elements of house and dance music."
HAGOP TCHAPARIAN,"Hagop Tchaparian is known for his experimental electronic music. He weaves diverse influences into his soundscapes, drawing from his Armenian heritage and mixing it with contemporary digital techniques."
HAILA,Cuban music sensation known for her powerful vocals in salsa and timba.
HAIRCUT 100,"Early 80s chart toppers who shone brightly with their summer-soaked pop, now celebrating the 40-year re-issue of their classic debut album."
HAK BAKER,"A raw, unfiltered and authentic voice blending his poetic message of unity, protest and collective power while transcending genres."
HAMDI,"Hamdi is a producer and DJ known for his work in the UK bass and grime scenes. His music often features heavy sub-bass lines, sharp rhythms, and dark atmospheres, making him a respected figure among fans of the genre."
HANNAH HOLLAND,"Hannah Holland is a DJ and producer from London, known for her eclectic sets that span house, techno, and bass music. She is also the founder of Batty Bass Records."
HARRI PEPPER,"Playing across the UK and Europe, Harri’s sound can take you anywhere. Resident for London’s best basement 17 Little Portland Street, Camden’s legendary Jazz Cafe and the forward thinking radio station Rinse FM. Harri has certainly built up a reputation for his no-nonsense party starting and odd ball selection."
HARRY MCCANNA,"Djing as Harry McCanna, producing as Henry Hyde. Co-founder of NorthSouth Records, and resident for fabric London"
HEADIE ONE,British rapper and singer with a penchant for Afropop and Nigerian hip hop intertwined into his drill and trap sound.
HEDEX,"Hedex is a prominent name in the drum and bass sub-genre, specifically known for his high-energy jump-up tracks that are popular in the rave and festival scenes."
HEIDI,"Heidi is a prominent figure in the electronic music scene, known for her dynamic DJ sets and infectious energy. She often features in underground house and techno events and has a knack for blending classic and modern tracks seamlessly."
HEILUNG,"Inspired by our shared tribal past, Heilung’s performance, will be unlike anything else you might encounter this weekend. Music conjured in part from human bones and backed by a cast of warriors and shamans."
HENGE,"Purveyors of a “Cosmic Dross” electronic crossover, direct from the far corners of the Galaxy."
HIGH VIS,"Belligerent explosive new guitar rock evolved from hardcore punk, baggy, post punk and shoegaze."
HIS LORDSHIP,"With nods towards 50s rockabilly, chart bound new wave, surf instrumentals, post-punk and scorching millennial garage rock."
HIXXY,"Hixxy is a prominent figure in the UK happy hardcore scene, known for his high-energy tracks and prolific DJ sets. He has been instrumental in shaping the genre, both as a solo artist and as part of the group Force & Styles. His work often features fast beats and euphoric melodies, making him a staple in the rave and hardcore circuits."
HOLYSSEUS FLY,"Bristol-based vocalist, pianist and songwriter who’s part of the Ishmael Ensemble."
HONEY DIJON,"Honey Dijon is a prominent artist in the house music scene, known for her skillful DJ sets and eclectic productions that blend elements of Chicago house, techno, and disco. She is also an influential figure in fashion and LGBTQ+ advocacy."
HOT CHIP,"Hot Chip is an English electronic music band formed in London. Their music features a mix of indie pop, house, and synth-pop, known for catchy melodies and introspective lyrics."
I AM FYA,"I Am Fya is an artist known for blending electronic, dancehall, and experimental sounds, creating a unique and eclectic musical style."
I. JORDAN,"An unstoppable force of high-energy, high-emotion music, much sought after following their collaborative single with hit-maker Fred again.."
IDLES,"Offering love, joy, state of the nation twisted rap, musclebound riffs and disgruntled lyrics in their magnificent latest incarnation."
IDO PLUMES,Forward Facing dub meets bouyant tecno.
IDRIS ELBA,"Idris Elba is a versatile artist who has made a significant mark in the house and techno music scene. As a DJ and producer, he is known for his deep house beats and engaging live sets."
IMPERIAL WAX,"Imperial Wax is a rock band that features members from the influential post-punk group The Fall. They are known for their raw, energetic sound and continuation of a gritty punk ethos."
INDIRA ROMAN ,"Cuban singer and songwriter, offering a vibrant fusion of Latin jazz and salsa."
INJA,"Inja is a versatile MC and rapper known for his dynamic performances in the drum and bass scene. He collaborates with various producers and DJs, bringing high-energy lyrics and an engaging stage presence to the genre."
INTERPLANETARY CRIMINAL,"Pioneering DJ, producer and co-head of the independent ATW Records who has released a string of rave-ready singles and Eps."
INTROSPEKT,"Introspekt, LA DJ/producer, blends dark 2-Step, groovy speed garage. Releases on Gimme A Break, EC2A, T4T LUV NRG."
ISSEY CROSS,Loud LDN member who’s played with a host of electronic performers including Wilkinson and Moby as well as releasing a string of singles of her own.
IVAN SMAGGHE,"A pioneering French DJ known for his eclectic mix of electro, techno, and house, often infusing dark, edgy sounds into his sets."
IVO DIMCHEV,"Ivo Dimchev is a multidisciplinary artist known for his avant-garde approach to music, blending performance art, contemporary classical, and experimental elements to create deeply emotive and thought-provoking works."
IZCO,"London DJ and producer at the forefront of the UK garage and grime scenes, known for his dynamic and high-energy sets."
JACK FRANCIS,"Jack Francis is a singer-songwriter who blends folk and indie rock influences to create soulful and heartfelt music. His style often features rich vocal harmonies, acoustic guitar, and introspective lyrics."
JACK LING,"Jack Ling brings a fresh take on ambient electronic music, blending soothing soundscapes with subtle rhythmic elements."
JADA STAR,"Singer/songwriter, storyteller and dreamer bringing her charming yet unique perspective on everyday life."
JAEVON,"Jaevon is a rising star in UK drill and rap, known for his gritty lyrics and hard-hitting beats."
JALEN NGONDA,"While Jalen’s voice may draw comparisons to Marvin Gaye and Curtis Mayfield, its his superlative skills as a songwriter that’s propelling him to international success."
JAMES,"Alternative indie, pre-Britpop songsmiths return following their chart topping album from earlier this year."
JAMES BLAKE,"Trippy experimental bass-heavy electronic dance sounds from the newly independent musician, composer and producer."
JAMES BURTON,"An excursion into esoteric and ambient territory, including rarities and exclusives from the pioneering Warp Records label."
JAMIE JONES,"DJ, producer, label boss, global event innovator and pioneer of a distinctive sound that’s paved the way for a warmer, more melodic side of techno."
JAMIE RODIGAN,"Jamie Rodigan is known for his contributions to the reggae and dancehall genres. Growing up with a strong influence from his legendary DJ father, David Rodigan, Jamie has carved out his own niche, blending contemporary sounds with traditional reggae vibes."
JAMIE WEBSTER,Outspoken crowd rousing activist singer songwriter tackling social issues and the rigours of everyday life head on.
JAMIE XX,"Versatile performer, producer and remixer who rose to prominence with The xx who has developed his own unique mix of electronic dance and indie pop."
JAMZ SUPERNOVA,"Eclectic DJ and broadcaster championing future beats, alternative R&B, and UK bass."
JANELLE MONAE,"After mixing soul, R&B, Afrobeat and reggae on last year’s mood morphing ‘The Age Of Pleasure’ expect an eclectic brew from the tux-wearing superstar."
JARVIS COCKER,"Jarvis Cocker is best known as the frontman of the iconic Britpop band Pulp. His musical style includes a mix of alternative rock and indie pop, characterized by witty lyrics and a distinctive vocal delivery."
JAYAHADADREAM,"The Glastonbury Emerging Talent Competition winner merges thought-provoking, storytelling lyrics with smooth, soulful hip-hop beats."
JAYDA G,"Jayda G is a Canadian DJ and producer known for her house music, which often features soulful and disco influences, and her energetic, uplifting DJ sets."
JEREMIAH ASIAMAH,"Jeremiah Asiamah is known for his eclectic approach to electronic music, blending genres like house, garage, and Afrobeat to create energetic and infectious dance tracks."
JEREMY SLYVESTER,"Pioneering force in UK Garage and House music, known for his inventive remixes and influential deep beats."
JERRY,"A versatile artist known for his contributions to the house music genre, blending classic house rhythms with contemporary electronic elements."
JESCA HOOP,"Jesca Hoop is an avant-garde singer-songwriter who blends elements of folk, indie rock, and experimental music. Her eclectic style and thought-provoking lyrics make her a unique presence in the music world."
JESSICA WILDE,"Jessica Wilde is a singer-songwriter who blends elements of soul, pop, and hip-hop in her music. Her work is known for its confessional lyrics and versatile vocal style."
JESSIE REID,"Bringing an indie folk-influenced, percussive fingerstyle technique to his songs that’s drawn comparisons to Ben Howard and Nick Mulvey."
JESSIE WARE,‘That! Feels Good!’ was the album where Jessie Ware was unveiled as the high priestess of euphoric pop disco. Expect a high-camp extravaganza.
JFB,"JFB is a British DJ and producer renowned for his impressive turntablism skills and his contributions to the drum and bass and breakbeat genres. He has won several DJ competitions and is celebrated for his dynamic, high-energy sets."
JOB JOBSE,The Dutch DJ adventuring far into electronic music while promoting his own legendary Strangelove nights.
JOE GODDARD,"Joe Goddard is an English musician, DJ, and producer who is a member of the band Hot Chip and one-half of the duo 2 Bears. His solo work spans multiple genres, including house, electro, and pop, characterized by a blend of rich production techniques and catchy melodies."
JOHN E VISTIC,"John E Vistic is a rock artist whose music is characterized by a blend of Americana, blues, and punk, often delivering high-energy performances."
JOHN SMITH,A transatlantic blend of fingerstyle and slide guitar steeped in the lineage of British folk and American guitar music.
JOHNNY FLYNN,"Singer, composer, musician and actor currently appearing as Richard Burton in Jack Thorne’s sell-out play The Motive and the Cue, directed by Sam Mendes."
JON HOPKINS,"A prominent figure in electronic music, Jon Hopkins is celebrated for his atmospheric and immersive sound that blends techno with ambient influences, creating deeply textured musical landscapes."
JORDAN MACKAMPA,Soulful singer songwriter calling on his Congolese roots and a love of rap and old skool funk.
JORDAN RAKEI,"His latest release, ‘The Loop’ is an album of deep emotional thrust, expansive widescreen soundscapes and deeply irresistible grooves."
JOSEPHINE GYASI,Vibrant performer known for her dynamic contributions to the sounds of UK garage and house music.
JOSH PARKINSON,"Josh Parkinson is a DJ and producer known for his work in the house and electronic music scenes. His tracks often feature infectious beats, deep basslines, and dynamic drops."
JOSH ROUSE,"The American singer songwriter returns with a distinctive 1980s, electronic feel to his new repertoire."
JOSHUA JAMES,"Joshua James is a prominent figure in the UK's house and techno scene. Known for his energetic and dynamic DJ sets, he seamlessly fuses deep house grooves with the driving rhythms of techno, creating an infectious dance floor experience."
JOY ORBISON,"DJ, producer and one of the most respected and influential electronic artists of his generation."
JUDY COLLINS,Iconic 60s folk legend and master of the aching ballad with a very special set to celebrate 60 years of majestic performances.
JULIAN ANTHONY,"An emerging figure in electronic music, known for his minimalist tech-house rhythms."
JUNGLE,"Back with their biggest album to date, spawning such huge tunes as ‘Back on ’74’ and ‘Dominoes’, Josh Lloyd-Watson and Tom McFarland will bring the party to West Holts."
JUST JAM,Just Jam's sound hails from Manchester and is inspired by long seasons in Ibiza. He is a co-founder of the label BEEYOU RECORDS and key player for Game Over.
JUSTICE,"Gaspard Augé & Xavier de Rosnay’s last performance on West Holts was the stuff of legend, they return with another blockbusting release, ‘Hyperdrama’ and a bigger, bolder, brighter show."
JYOTY,"A rising star in the DJ world, Jyoty's eclectic mixes span house, hip-hop, and R&B, reflecting her broad musical influences and vibrant personality."
K KLASS,"Responsible for some of the biggest UK house tracks and countless remixes (Pet Shop Boys, Whitney Houston, Blondie, Bobby Brown)."
K LONE,"K Lone is known for producing electronic music that spans several genres, including house, techno, and ambient. His sound is characterized by rich textures and innovative rhythms."
K MOTIONZ,"A prominent figure in the drum and bass community, K Motionz delivers high-energy tracks characterized by powerful basslines and intricate rhythms."
KANE,"Kane is a rock band from the Netherlands, known for their alternative rock sound. They gained significant popularity in the early 2000s with hits such as 'Rain Down on Me' and 'No Surrender.'"
KANGAROO MOON,"Kangaroo Moon fuses elements of folk, rock, and world music, creating a unique sound that is both eclectic and accessible. Their live performances are known for their energy and improvisational flair, often incorporating various traditional instruments."
KANINE,"Supported by some of the biggest and most influential names in Drum & Bass, the young Londoner known as Kanine has risen to new heights in recent years"
KAPTAIN,"Kaptain is a producer known for his work in the electronic music scene, specifically within the sub-genre of electro-funk. His music often features groovy basslines and nostalgic, synth-driven melodies."
KARA JACKSON,"Award-winning poet, singer-songwriter, and producer inspired by her family's heritage in the American South and her experiences growing up in Chicago."
KATALYST,"Katalyst is a prominent figure in the Australian hip-hop and electronic music scenes. His music often features complex beats and collaborations with various artists, bringing a unique, groove-infused sound to his productions."
KATE NASH,"BRIT Award-winning singer-songwriter, musician and actress whose unapologetic storytelling and electrifying live performances are legend."
KATHRYN ROBERTS,"Kathryn Roberts is a prominent figure in the British folk music scene. She is celebrated for her rich vocals and compelling storytelling, often performing alongside her husband, Sean Lakeman."
KATY B,"Katy B is a British singer and songwriter associated with the dubstep, UK garage, and house music scenes, known for her powerful voice and danceable tracks."
KAVUS TORABI ,"An experimental rock musician, Kavus Torabi is known for his work with bands like Knifeworld and Gong, blending elements of psychedelic rock with progressive and avant-garde music."
KEANE,"Twenty years on from their enormo-selling hook-laden ‘Hopes And Fears’ debut album, Keane return with their trademarked swooning pop."
KEEQ,"KeeQ has released music through Armada Music, Circus Recordings, Saved Records, Abracadabra, and Hurry Up Slowly with seen prime time radio support on Radio 1, and Kiss."
KELLY LEE OWENS,"Fusing electronic music’s changing temperature vocal, songwriting and production as confident and captivating as her beats."
KENYA GRACE,Electronic R&B and soul singer songwriter who hit big last year with ‘Strangers’.
KETTAMA,"Kettama stands at the forefront of the hard-hitting house music scene, with energetic rhythms and compelling grooves."
KEYRAH,Labelled as Mixmag's 
KI/KI,"Ki/Ki is a rising talent in the electronic music scene, known particularly for her work within the sub-genre of trance. Her sets are characterized by high energy, euphoric melodies, and driving beats."
KIKO BUN,"British reggae artist with a fresh take on classic roots reggae, infused with contemporary pop sensibilities."
KILIMANJARO,"Electronic Producer DJ, playing the sounds of Afro, Amapiano, House and the world, forever bringing the part"
KIM ANN FOXMAN,"Kim Ann Foxman is a prominent figure in the electronic music scene, known for her contributions to house and techno. A DJ and music producer, she blends deep, driving beats with a melodic touch, often creating a captivating and danceable atmosphere."
KIM GORDON,Alternative music provocateur delves deep into Justin Raisin's blown out dub and trap throwing in noise symphonies and beatnik poetry to the mix.
KING KRULE,Meditative melancholy musings on love and loss from this alternative indie performer slipping into blues and loose jazz.
KING OF THE BEATS,Breaks supergroup with Krafty Kuts and members of the Freestylers and Plump DJs
KINGFISHR,"One of the acclaimed new practitioners of Irish music, filled with a grand, atmospheric tone married to their super catchy melodies."
KINGS OF TOMORROW,"Kings Of Tomorrow is a music project by American DJ and house music producer Sandy Rivera, best known for their work in the Deep House genre."
KINK,"KiNK, born Strahil Velchev, is a Bulgarian DJ and producer known for his live performances and innovative approach to house and techno music. He often incorporates hardware and live elements into his sets, making each performance unique."
KISS NUKA,"Kiss Nuka is an electronic music artist known for her experimental soundscapes and fusion of various electronic sub-genres. Her music often incorporates elements of ambient, techno, and downtempo, creating rich and immersive auditory experiences."
KLEIN,"Klein is a contemporary British artist and composer whose work often blurs the lines between fact and fiction. Her music releases, films and performances are often informed by urban mapping, surveillance, humour, hip hop, noise, identity and beyond."
KLEU,"Kleu is associated with the drum and bass subgenre, delivering high-energy tracks that are characterized by fast breakbeats and heavy bass lines. Their music often finds a home in vibrant, high-tempo rave and club scenes."
KMRU,"Nairobi-born, Berlin-based sound artist whose work is grounded on the discourse of field recording, noise, and sound art."
KNEECAP,Political hip hop from the streets of Belfast from the Toddla T-approved pub-positive conceptualists.
KOJAQUE,"Visual artist, film maker and rapper whose conceptual approach and slo-mo soundscapes set him apart as an exciting provocateur."
KOLTER,Direct from the ever-innovative German music scene with a fresh take on house music.
KONX-OM-PAX,Konx-om-Pax will perform an exclusive immersive audio visual ambient set
KRAFT KUTS,Kraft Kuts is known for his work in the breakbeat and electronic music genres. His creative and energetic approach has earned him a strong reputation in the global breaks community.
KRAFTY KUTS,"Krafty Kuts is a pioneer in the UK breakbeat and electro breaks scene. Known for his innovative production and high-energy DJ sets, he has been a key figure in popularizing breakbeat music globally."
KT,The northern crate digger and Space Dust resident.
KURUPT FM,"London's finest pirate radio station; the BAFTA-winning, feature film making, album charting bedroom DJs open The Glade with their high rise selection."
L-VIS 1990,"L-Vis 1990, also known as James Connolly, is a prominent figure in the UK electronic music scene. He is a co-founder of the Night Slugs label, and his work spans genres including grime, house, and bass music."
LA EVOLUCION ORCHESTRA,"Renowned for its spirited performances that bring together elements of salsa, timba, and other Afro-Cuban music styles."
LADY SHAKA,Taylah brings some Afrobeat to the party.
LAGOON FEMSHAYMA,"An emerging talent in the electronic music scene, Lagoon Femshayma blends experimental sounds with electronic beats, crafting unique and forward-thinking sets."
LAIDLAW,"Laidlaw is a highly talented DJ and Producer hailing from the vibrant city of London. With an undeniable passion for music, he has become one of the most talked about upcoming artists in the UK, positioning himself at the forefront of a new wave of underground selectors."
LAKUTI,"Lakuti is a prominent DJ and music promoter known for her contributions to the house music scene. Co-founder of the Sud Electronic label, she is a fixture in Berlin's club scene and renowned for her deep and soulful sets."
LAMBRINI GIRLS,"Outspoken nu-punk noise, squealing through hot button social issues with biting tongue-in-cheek humour propelled by some incendiary guitars."
LANCE DESARDI,"Lance Desardi is an electronic music producer and DJ, recognized for his work in the deep house genre. His productions often feature smooth, soulful melodies and intricate rhythms."
LAND OF THE GIANTS,"Land Of The Giants is known for their energetic blend of rock, reggae, and ska, making them a popular live act in the UK festival circuit."
LANKUM,"Irish four piece who’ve developed their traditional folk sound into a rich, textured backdrop for their absorbing lyrical vocal delivery."
LAUREN LO SUNG,"LOLiFE label and club night impresario playing dub techno entwined with grooves, breaks and impeccable basslines."
LAYLA BENITEZ,The ever evolving Afro house DJ and producer.
LCD SOUNDSYSTEM,Grammy-winning alternative electronic dance band revolving around James Murphy’s semi-sarcastic but sincerely poignant narrative.
LEA LEA,"Lea Lea is a dynamic artist who falls within the experimental soul and electronic subgenres. Her powerful vocals, combined with innovative production techniques, create a sound that is both modern and deeply emotive."
LEEROY THORNHILL,Leeroy Thornhill is a former member of The Prodigy and has made a name for himself in the breakbeat and electronic music scene. His solo work continues to push boundaries with high-energy beats and innovative sounds.
LEKIDDO - LORD OF THE LOBSTERS,"Lekiddo - Lord Of The Lobsters is a quirky music artist known for his niche genre of lobster-themed dance-pop. His performances are often colorful and theatrical, engaging audiences with catchy tunes and eccentric costumes."
LEON VYNEHALL,Leon Vynehall is part of a vanguard of artists expanding the ambition of electronic music. Leon has established himself as a genuine artist of musicality and craftsmanship across the world.
LETISHA GORDON,Birmingham-based singer songwriter blending soul and Afropop together.
LIAM BAILEY,"British singer-songwriter merging soul, reggae, and blues to create a unique and heartfelt sound."
LIL SILVA,"A versatile producer and artist, Lil Silva fuses UK funky, house"
LIME GARDEN,"Wonk pop masters blending disco, alt-pop and surf music into their own distinctive sound."
LITTLE SIMZ,"Perceptive singer songwriter, actress, singer and Mercury Prize winner with a surreal, carefully-observed cinematic worldview."
LIZ LAWRENCE,"Liz Lawrence is an independent singer-songwriter who merges indie rock and pop with an introspective lyrical style. Her sound is characterized by its catchy melodies, honest storytelling, and a blend of acoustic and electronic elements."
LIZZIE ESAU,"Influenced by Wolf Alice, Beabadoobee, Bob Vylan and Radiohead, creating her own angsty sound."
LOGIC1000,"Conjuring up concepts and genres via samples, UK-centric dance rhythms, digital synths and disembodied textures."
LONDON COMMUNITY GOSPEL CHOIR,With an uplifting combination of covers and original songs painting a positive picture of hope and optimism during a time of global concern.
LONDON GRAMMAR,Sweet electronic dream pop hit makers previewing their upcoming ‘Greatest Love’ album set for September release.
LOONALOOP,"Loonaloop is a band known for their fusion of world music, electronica, and trance. Their eclectic sound and hypnotic live shows feature a diverse range of instruments and global musical influences."
LORD APEX,"London-based MC crossing styles and genres and embracing lo-fi, alternative and UK hip hop."
LOTTERY WINNERS,"Unruly Manc four piece streamlining social awareness into heady, melody-strewn pop gems with some glorious choruses."
