name,bio
DOLLY MAVIES,"Dolly Mavies is an emerging artist known for her unique blend of indie folk and pop, characterized by heartfelt lyrics, soulful vocals, and melodic instrumentation."
DON LETTS,The rebel dread returns with the tunes to riock the block
DOUBLE O,"Double O is a key player in the Jungle and Drum and Bass scenes, known for the genre's fast breakbeats (typically between 160–180 BPM), heavily syncopated percussive loops, samples, and synthesized effects."
DOVE,South London's dynamic drum and bass outfit closing the evening out.
DR BANANA,"Dr Banana is known for his contributions to the underground UK garage scene. His label, Dr Banana, focuses on reviving classic garage sounds while also releasing new music that captures the essence of the genre."
DR BANANA X LUKAS WIGFLEX,"Straight from Osaka, the Doctor and the Sloppadontist combine forces."
DR DUBPLATE B2B TODD EDWARDS,"Grammy-winning Todd faces off with the absorbing Afrobeat, house and funk of the Doctor."
DR MEAKER,"Dr Meaker is a renowned act in the drum and bass scene, known for blending live instruments with electronic beats. Their sound is characterized by soulful vocals, lush melodies, and heavy basslines, creating a powerful and emotive listening experience."
DREAM MCLEAN,"Dream Mclean is a British rapper and grime artist, recognized for his intricate wordplay and ability to blend grime with hip-hop and dubstep influences."
DRESDEN,"The ambitious club duo touches down in Somerset, fronted by old friends Ivan Smagghe and Manfredas."
DRS,"DRS is a well-known figure in the drum and bass community, recognized for his lyrical prowess and contributions to the genre as an MC. His works often feature deep, introspective lyrics over high-energy drum and bass rhythms."
DUA LIPA,"Multi-BRIT and Grammy-winning disco diva, actress and cover star newly ensconced in the psychedelic hues of rave and Brit Pop."
DUBKASM,"Dubkasm is a well-known name in the dub and reggae scene. Originating from Bristol, England, Dubkasm's music is characterized by heavy basslines, echoing sounds, and a strong influence of Jamaican reggae culture. Their tracks often incorporate live instruments and feature collaborations with various vocal artists."
DUBKASM VS GORGON SOUND,The Dubkasm duo spar with Gorgon Sound.
DUCKWORTHSOUND & DREAD,Bringing all things bass and dance.
DUNGEON MEAT,"Dungeon Meat is an electronic music duo known for their deep house and techno productions. Their music often features dark, organic sounds and a focus on raw, driving beats."
DUSKEE,"Duskee is an emerging artist in the drum and bass scene, known for his engaging vocal contributions and collaborations with various producers. His style often incorporates both lyrical depth and rhythmic precision."
DUSTY STRAY,"Dusty Stray is the musical project of Jonathan Brown, characterized by its melancholic indie-folk sound. The music often features delicate acoustic instrumentation, haunting melodies, and reflective lyrics that explore themes of love, loss, and solitude."
DYEN,Dyen is recognized in the techno scene for his fast-paced and hard-hitting beats which often blend elements of hard techno and industrial influences.
EAST END DUBS,"East End Dubs is a prominent figure in the underground house and minimal techno scenes, known for his deep grooves and stripped-back productions."
EATS EVERYTHING,"Eats Everything is a prominent DJ and producer in the house and techno music scenes. He is known for his bass-heavy, genre-blurring tracks and energetic DJ sets."
EATS EVERYTHING B2B GROOVE ARMADA,Always hungry electronic music institution meets the Armada’s melodic arsenal.
ED SOLO,"Ed Solo is well-known in the Drum and Bass genre, particularly for his work in its subgenre of Jump-Up, characterized by its energetic, upbeat rhythms."
EFFY,"Effy is a rising artist known for her dark and atmospheric take on techno and house music, often blending elements of industrial and acid sounds."
EKSMAN,"Eksman is a renowned MC in the drum and bass genre, specifically known for his fast-paced and engaging live performances within the jump-up and jungle sub-genres."
ELIANE CORREA & LA EVOLUCIÓN ORQUESTA,"Eliane Correa is a young multi-heritage Latina pianist backed by La Evolución, the only UK-based Cuban orchestra which is both female-led and female-fronted. With precise and powerful arrangements, they deliver a high-energy modern Timba (“Cuban salsa”) sound that authentic and unique."
ELIZA ROSE,Armed with a hybrid DJ-plus-vocals show paying homage to queer culture’s importance in dance music.
ELKKA,"A euphoric and celebratory performer with a radiant blend of classic house, breakbeat and experimental electronica."
ELLA KNIGHT,"Ella Knight is an emerging artist recognized for her smooth, jazzy voice and contemporary R&B sound. Her music often features lush, atmospheric production and introspective lyrics, creating a moody and soulful listening experience."
ELLA KNIGHT B2B JEREMY SLYVESTER,"DJ, Singer and Promoter Ella Knight is in high demand for her tasteful selections across a broad range of Souful House, 90’s pumping House-Garage and Classic Disco. Jeremy Sylvester is a not only a highly influential producer and DJ with mainstream appeal, but also an underground legend revered by those in the know. This veteran of the UK scene has achieved commercial success and critical acclaim over a near 30-year career that has seen three UK Top 20 singles and an astounding four million records sold worldwide. Julian Anthony carefully blends refined shades of house, techno and electro, all with a progressive edge."
ELLES BAILEY,"Smokey voiced, multiple UK Blues and Americana Awards winner at the forefront of the British blues and roots scene."
EMMA JEAN-THACKRAY,"Emma Jean-Thackray is a prominent figure in the modern jazz scene. Her work often blends jazz with electronic music, funk, and psychedelic elements, resulting in a fresh and innovative sound that respects traditional jazz while pushing its boundaries."
EMMA KORANTEMA,Foundation FM continues with a hybrid of highlife and grime.
EMMA-JEAN THACKRAY,"Emma-Jean Thackray is a British jazz musician, known for her innovative approach to jazz that blends elements of traditional jazz with electronic music, funk, and psychedelic influences. Her work often features multi-layered compositions and she is recognized as a rising star in the contemporary jazz scene."
EMZ,Former fitness instructor bringing hyper energy to the decks.
ENGLISH DISCO LOVERS,Legendary party starters spinning discs throughout the afternoon.
ENGLISH TEACHER,"Providing a stinging, incisive sociopolitical critique nestled next to the kitchen sink drama of the real world."
ENTITY,Synthesiser / sequencer programmer who started his career as a session guitarist in a West End cabaret and composer for the Atmosphere (2) label.
ENZO SIRAGUSA,"Stacked with house, techno, and UK bass heavy sounds across drum and bass, garage and jungle."
ENZO SIRAGUSA B2B TRAUMER,The London club institution brings two heavyweights together.
ERIC PRYDZ,"Eric Prydz is a Swedish DJ and producer known for his contributions to progressive house and techno. He gained widespread recognition for hits like 'Call on Me' and 'Pjanoo,' and has performed under various aliases, including Pryda and Cirez D, showcasing his versatility in electronic dance music."
EROL ALKAN,"Erol Alkan is a renowned DJ and producer known for his eclectic style which blends elements of alternative dance, electro, and house music. He is also the founder of the Phantasy Sound label."
EVA LAZARUS,"Eva Lazarus is known for her versatility in multiple genres including reggae, drum and bass, and hip-hop. Her powerful voice and dynamic performances have garnered her a dedicated following."
EVA LAZARUS LIVE AV,"Big voice, big bass and big hair with musical flavours spanning everything from reggae to hip hop, drum and bass to jungle and beyond."
FACTA,"Facta is a UK-based producer and DJ, recognized for his contributions to the underground electronic music scene, particularly in the realms of dubstep and techno."
FACTA & K LONE,"The Wisdom Teeth label bosses weaving hypnotic techno, garage and electro."
FAFF,"Opening the celebration of Body Movements with production duo Faff and their mix of house, techno, disco, funk and soul."
FAITHLESS,"Legendary dance outfit return to the stage after an eight year hiatus, expect anthems galore."
FANTASTIC MAN B2B TORNADO WALLACE,The “Man” with the flippant alias for house edits and club oddities meets fellow Melbourne DJ and a forerunner of a new wave of dance producers.
FAT DOG,"Electrifying South Londoners proving impossible to pigeonhole with their mix of dance, punk, klezmer and just about everything else."
FAT TONY,"Fat Tony is a prominent figure in the house music scene, known for his dynamic DJ sets that blend classic house with contemporary electronic dance music."
FAT WHITE FAMILY,Celebrating the release of their fourth album ‘Forgiveness Is Yours’ in a typically unpredictable post punk psychedelic avant-garage style.
FATBOY SLIM,"90s Big beat innovator, party legend, dabbling in big tunes across all genres from trip hop and new funk to electronica."
FELIX DICKINSON,"Felix Dickinson is a storied figure in the acid house and disco revival scenes. With a career spanning several decades, he has been instrumental in bringing the underground sounds of these genres to broader audiences, all while maintaining a distinct and infectious groove."
FEMI KUTI,The son of legendary Nigerian Afrobeat innovator Fela Kuti cutting his own unique mix of funky sax-laded Afro jazz.
FISH56OCTAGON,Playing a special set showcasing the music loved by Annie Nightingale
FISH56OCTAGON AMBIENT DJ SET,"As Fish56Octagon continues to push the boundaries of electronic music and inspire others to follow their dreams, his story serves as a reminder of the transformative power of passion and perseverance in the ever-evolving landscape of music and media."
FIZZ,"Described as psychedelic, maximalist, and theatrical, often drawing inspiration from past icons."
FLOWEROVLOVE,Earth-conscious teenage singer songwriter with a nod to her West African heritage.
FLYTE,Perfectly crafted storytelling with luxurious harmonic arrangements from Will Taylor and Nick Hill.
FONTAINES D.C.,"The Dublin quintet headline the stage, perfectly  illustrating their elevation from post-punk angst to indie-pop, rave, and anthem-friendly stadium rock."
FRANCESCO DEL GARDA,"Francesco Del Garda is a respected name in the minimal and house music communities. His sets are characterized by intricate soundscapes, deep grooves, and a careful selection of rare vinyl records."
FRANK TURNER,Pioneering punk-rock road-warrior fresh from his tenth album still bestowing fire and passion for all.
FRANKIE ARCHER,"Electrofolk extrovert shaking up genres and traditions, challenging perspectives in an extraordinary flux of genres."
FRANÇOIS K,"François K is a legendary figure in the electronic and dance music scenes. He is one of the pioneers of the New York City dance music scene and is known for his influential work in house, techno, and electronic music. François K's DJ sets and productions are often characterized by deep, soulful vibes and innovative mixing techniques."
FREAKENSTIEN,"A-Future, Adam Shelton's alias, offers deep electro, acid, and intricate drum mixes. Transporting listeners through alien soundscapes."
FREETOWN COLLECTIVE,"Freetown Collective is a music group from Trinidad and Tobago that blends a variety of genres including reggae, hip-hop, and soca, creating a distinct sound that speaks to both local and global audiences."
FRICTION,"Friction is a prominent figure in the Drum and Bass genre, both as a DJ and a producer. Known for his high-energy sets and diverse track selections, he has made significant contributions to the genre through his work on record labels and radio shows. His music often features fast-paced beats, rolling basslines, and precise production."
FULU MIZIKI,"Fulu Miziki is an eco-friendly collective from the Democratic Republic of Congo, creating instruments from recycled materials. Their music blends traditional African rhythms with a modern, avant-garde approach."
FUNKE AND THE TWO TONE BABY,"Funke And The Two Tone Baby is the musical project of Dan Turnbull, known for blending blues, indie, and electronic music. His performances often feature live looping and a high-energy delivery."
GABRIELLE KWARTENG B2B SHANTI CELESTE,The native New Yorker traverses genres and styles while Shanti’s bounce and uplifting lilt offers a contemporary UK take on the Motor City sound.
GARDNA,"Gardna is a versatile artist within the UK bass music scene, known for his vocal performances that blend elements of dub, reggae, and hip-hop. His work often features collaborations with other prominent figures in the bass music community."
GARRETT DAVID,"Garrett David is a Chicago-based DJ and producer specializing in house music. He is known for his deep, soulful grooves and contributions to the city's vibrant underground dance music scene."
GECKO,"Gecko is known for his witty and playful approach to songwriting. Blending elements of folk, pop, and spoken word, his music often features clever lyrics, catchy melodies, and a light-hearted tone."
GENE,"Gene was a British alternative rock band that emerged in the mid-1990s, often fitting into the Britpop movement with their introspective lyrics and melodic guitar-driven sound."
GENE ON EARTH,"Gene On Earth is known for his cosmic and minimal house tracks, often characterized by groovy basslines, spaced-out melodies, and stripped-back beats. His music has a distinct underground vibe that appeals to electronic music connoisseurs."
GHETTS,"British grime and rap star and NASTY Crew member celebrated for his hard hitting lyrics and intricate, poetic phrasing."
GIPSY KINGS,"Gipsy Kings are renowned for their contributions to the genre of flamenco, blended with pop and Latin rhythms, creating a unique style often referred to as 'Rumba Gitana'."
GIRLBAND!,Alternative three-piece pulling on influences from the 50s to the present day to create their own distinctive sound.
GIRLS DON'T SYNC,"An all-female group of DJs, producers and curators with a fresh take on UKG, house and bass  with Sweet Female Attitude."
GIRLS NEXT DOOR,"High energy bass heavy trio featuring award winning MC Maddy V, DJ Ms Pink and vocalist Mila Falls"
GIRLS OF THE INTERNET,"Girls Of The Internet is a genre-blending project that combines elements of house, soul, and electronic music, known for their experimental approach and engaging productions."
GIYA,"Giya is an emerging artist in the electronic music scene, blending elements of house, techno, and ambient music. Her soundscapes are often richly textured, creating an immersive listening experience that is both deep and uplifting."
GOK WAN,"Channelling his love of soulful, uplifting house in an uplifting and stylish way of course."
GOLDIE,"Goldie is a pivotal figure in the drum and bass genre, known for his groundbreaking work in jungle and breakbeat, as well as his seminal album 'Timeless.'"
GOLDIE LIVE,"A UK festival exclusive for 2024 from the legendary UK jungle, drum and bass and breakbeat hardcore legend."
GOLDIE X DOC SCOTT X RANDALL,The Godfather of the genre with selector Randall and legendary British drum and bass DJ and producer AKA Nasty Habits.
GORGON CITY,"Renowned electronic house duo with a new album, ‘Reverie’ set for release next month."
GORGON SOUND,"Gorgon Sound is a prominent duo in the UK dub and roots scene. Known for their bass-heavy productions, they draw influence from traditional reggae and sound system culture. Their music often features deep, meditative rhythms paired with intricate dub effects."
GOSSIP,Reunited after 12 years with a Rick Rubin-produced album and heading for an upbeat electronic dance party in your mind.
GOTSOME,"Gotsome is a house and bass music duo from the UK, known for their energetic tracks that blend elements of house, bassline, and tech house."
GRACE CARTER,Emotive British singer songwriter with a voice to break and mend hearts.
GRACE PETRIE,"More than a decade after first emerging, the protest singer, LGBTQ+ activist, comedy audience favourite and folk star returns."
GRACIE T B2B SHIVUM SHARMA,"The takeover continues with Gracie’s dancehall to footwork, jungle to UK funky and South London DJ and radio host Shivum Sharma."
GRANT SHOWBIZ,"Grant Showbiz is a renowned British record producer and live sound engineer, recognized for his influential work in the post-punk and alternative rock genres. He has collaborated with iconic bands such as The Fall and The Smiths."
GREG BELSON,"Greg Belson is celebrated in the realm of Gospel Soul, a subgenre that melds aspects of soul music with gospel influences, often featuring powerful, emotive vocal performances."
GROOVE ARMADA,"Groove Armada is an electronic music duo from England, known for their diverse range of sub-genres including big beat, house, and downtempo."
GROOVE ARMADA DJ,"Always fascinated by the beat, the electronic dance veterans dig out their DJ boxes and crate-digging finds for a special set."
GROVE,"Brooding bass, chopped-up vocals and dark, hypnotic rhythms."
GUY CHAMBERS,"Guy Chambers is best known for his work as a songwriter and producer, particularly in the pop and rock genres. He has collaborated extensively with Robbie Williams, contributing to some of his biggest hits."
GUY.IN.GLASSES,"Afro electronic dance producer/DJ, playing Afrotech, Afrohouse, deep house and Amapiano all afternoon."
HAAI,"Haai is an electronic music producer and DJ known for her experimental approach to techno and house music. She often incorporates diverse influences and unexpected samples in her tracks, creating immersive and dynamic soundscapes."
HAAI B2B SAOIRSE,"Surrounded by noise and beats and people, Haai’s party mode spars with Body Movements’ co-founder Saoirse’s sounds."
HAGAN,"Hagan is known for his Afrobeat and UK Funky style, blending African rhythmic influences with elements of house and dance music."
HAGOP TCHAPARIAN,"Hagop Tchaparian is known for his experimental electronic music. He weaves diverse influences into his soundscapes, drawing from his Armenian heritage and mixing it with contemporary digital techniques."
HAILA Y SU ORQUESTA,"The first ever UK performance from one of the most important champions of Cuban music in the 21st century. Grammy-award winning Haila, whose music is featured on many film soundtracks, has previously collaborated with Celia Cruz and Omara Portuondo of the Buena Vista Social Club and has over 30 years experience."
HAIRCUT 100,"Early 80s chart toppers who shone brightly with their summer-soaked pop, now celebrating the 40-year re-issue of their classic debut album."
HAK BAKER,"A raw, unfiltered and authentic voice blending his poetic message of unity, protest and collective power while transcending genres."
HAMDI,"Hamdi is a producer and DJ known for his work in the UK bass and grime scenes. His music often features heavy sub-bass lines, sharp rhythms, and dark atmospheres, making him a respected figure among fans of the genre."
HANNAH HOLLAND,"Hannah Holland is a DJ and producer from London, known for her eclectic sets that span house, techno, and bass music. She is also the founder of Batty Bass Records."
HARRI PEPPER,"Playing across the UK and Europe, Harri’s sound can take you anywhere. Resident for London’s best basement 17 Little Portland Street, Camden’s legendary Jazz Cafe and the forward thinking radio station Rinse FM. Harri has certainly built up a reputation for his no-nonsense party starting and odd ball selection."
HARRY MCCANNA,"Djing as Harry McCanna, producing as Henry Hyde. Co-founder of NorthSouth Records, and resident for fabric London"
HEADIE ONE,British rapper and singer with a penchant for Afropop and Nigerian hip hop intertwined into his drill and trap sound.
HEDEX,"Hedex is a prominent name in the drum and bass sub-genre, specifically known for his high-energy jump-up tracks that are popular in the rave and festival scenes."
HEIDI,"Heidi is a prominent figure in the electronic music scene, known for her dynamic DJ sets and infectious energy. She often features in underground house and techno events and has a knack for blending classic and modern tracks seamlessly."
HEILUNG,"Inspired by our shared tribal past, Heilung’s performance, will be unlike anything else you might encounter this weekend. Music conjured in part from human bones and backed by a cast of warriors and shamans."
HENGE,"Purveyors of a “Cosmic Dross” electronic crossover, direct from the far corners of the Galaxy."
HIGH VIS,"Belligerent explosive new guitar rock evolved from hardcore punk, baggy, post punk and shoegaze."
HIS LORDSHIP,"With nods towards 50s rockabilly, chart bound new wave, surf instrumentals, post-punk and scorching millennial garage rock."
HIXXY,"Hixxy is a prominent figure in the UK happy hardcore scene, known for his high-energy tracks and prolific DJ sets. He has been instrumental in shaping the genre, both as a solo artist and as part of the group Force & Styles. His work often features fast beats and euphoric melodies, making him a staple in the rave and hardcore circuits."
"HOLD TIGHT RECORDS FT JMAN, WHO KNEW & PAB MC","Bristol’s roots inspired label take the decks to provide the best in new music inspired by roots, dub and soundsystem culture."
HOLYSSEUS FLY,"Bristol-based vocalist, pianist and songwriter who’s part of the Ishmael Ensemble."
HONEY DIJON,"Honey Dijon is a prominent artist in the house music scene, known for her skillful DJ sets and eclectic productions that blend elements of Chicago house, techno, and disco. She is also an influential figure in fashion and LGBTQ+ advocacy."
HOT CHIP,"Hot Chip is an English electronic music band formed in London. Their music features a mix of indie pop, house, and synth-pop, known for catchy melodies and introspective lyrics."
I AM FYA,"I Am Fya is an artist known for blending electronic, dancehall, and experimental sounds, creating a unique and eclectic musical style."
I. JORDAN,"An unstoppable force of high-energy, high-emotion music, much sought after following their collaborative single with hit-maker Fred again.."
IDLES,"Offering love, joy, state of the nation twisted rap, musclebound riffs and disgruntled lyrics in their magnificent latest incarnation."
IDO PLUMES,Forward Facing dub meets bouyant tecno.
IDRIS ELBA,"Idris Elba is a versatile artist who has made a significant mark in the house and techno music scene. As a DJ and producer, he is known for his deep house beats and engaging live sets."
IMPERIAL WAX,"Imperial Wax is a rock band that features members from the influential post-punk group The Fall. They are known for their raw, energetic sound and continuation of a gritty punk ethos."
INDIRA ROMAN Y AJI PA' TI,Cuban singer songwriter Indira Román brings her unique tropical sound with her band Aji Pa' Ti creating an explosive and irresistible experience.
INJA,"Inja is a versatile MC and rapper known for his dynamic performances in the drum and bass scene. He collaborates with various producers and DJs, bringing high-energy lyrics and an engaging stage presence to the genre."
INTERPLANETARY CRIMINAL,"Pioneering DJ, producer and co-head of the independent ATW Records who has released a string of rave-ready singles and Eps."
INTROSPEKT,"Introspekt, LA DJ/producer, blends dark 2-Step, groovy speed garage. Releases on Gimme A Break, EC2A, T4T LUV NRG."
ISSEY CROSS,Loud LDN member who’s played with a host of electronic performers including Wilkinson and Moby as well as releasing a string of singles of her own.
IVAN SMAGGHE,"Ivan Smagghe is a prominent figure in the electronic music world, often associated with the sub-genre of electroclash. His style typically features a mix of post-punk, techno, and new wave influences."
IVAN SMAGGHE & MANFREDAS,"The ambitious club duo touches down in Somerset, fronted by old friends Ivan Smagghe and Manfredas."
IVO DIMCHEV,"Ivo Dimchev is a multidisciplinary artist known for his avant-garde approach to music, blending performance art, contemporary classical, and experimental elements to create deeply emotive and thought-provoking works."
IZCO,"20 years into his career, Liam Bailey can finally be himself providing the vocals for IZCO who has carved out a distinct space in the UK music scene. Redefining the old-skool sounds of garage, jungle, grime and broken beat into an all-encompassing collective"
JACK FRANCIS,"Jack Francis is a singer-songwriter who blends folk and indie rock influences to create soulful and heartfelt music. His style often features rich vocal harmonies, acoustic guitar, and introspective lyrics."
JADA STAR,"Singer/songwriter, storyteller and dreamer bringing her charming yet unique perspective on everyday life."
JALEN NGONDA,"While Jalen’s voice may draw comparisons to Marvin Gaye and Curtis Mayfield, its his superlative skills as a songwriter that’s propelling him to international success."
JAMES,"Alternative indie, pre-Britpop songsmiths return following their chart topping album from earlier this year."
JAMES BLAKE,"Trippy experimental bass-heavy electronic dance sounds from the newly independent musician, composer and producer."
JAMES BURTON,"An excursion into esoteric and ambient territory, including rarities and exclusives from the pioneering Warp Records label."
JAMIE JONES,"DJ, producer, label boss, global event innovator and pioneer of a distinctive sound that’s paved the way for a warmer, more melodic side of techno."
JAMIE RODIGAN,"Jamie Rodigan is known for his contributions to the reggae and dancehall genres. Growing up with a strong influence from his legendary DJ father, David Rodigan, Jamie has carved out his own niche, blending contemporary sounds with traditional reggae vibes."
JAMIE WEBSTER,Outspoken crowd rousing activist singer songwriter tackling social issues and the rigours of everyday life head on.
JAMIE XX,"Versatile performer, producer and remixer who rose to prominence with The xx who has developed his own unique mix of electronic dance and indie pop."
JAMZ SUPERNOVA,"Label head, radio host, DJ, podcaster, and tastemaker known for selecting sounds that span all musical genres and subcultures"
JAMZ SUPERNOVA B2B YUNG SINGH,"Jamz Supernova uses sonics to tell a story, while Singh travels across the dance music spectrum blending perfectly with his Punjabi roots."
JAN VAN IJKEN & ENTITY - PLANKTONIUM,"Filmmaker and photographer from Leiden, the Netherlands. In his latest works, he reveals secrets in nature like the murmuration of starlings, the genesis of life and the unseen world of microscopic plankton."
JAN VAN IJKEN & ENTITY - THE ART OF FLYING,"Filmmaker and photographer from Leiden, the Netherlands. In his latest works, he reveals secrets in nature like the murmuration of starlings, the genesis of life and the unseen world of microscopic plankton."
JANELLE MONAE,"After mixing soul, R&B, Afrobeat and reggae on last year’s mood morphing ‘The Age Of Pleasure’ expect an eclectic brew from the tux-wearing superstar."
JARVIS COCKER,"Jarvis Cocker is best known as the frontman of the iconic Britpop band Pulp. His musical style includes a mix of alternative rock and indie pop, characterized by witty lyrics and a distinctive vocal delivery."
JASMIN HARSONO - IMMERSIVE AMBIENT LIVE SOUNDS AND VISUALS,"Multi-sensory artist, author, meditation guide specialising in energy and sound and entrepreneur who founded Emerald and Tiger in 2017."
JASMIN HARSONO - OPENING MEDITATION,"Multi-sensory artist, author, meditation guide specialising in energy and sound and entrepreneur who founded Emerald and Tiger in 2017."
JAYAHADADREAM,"The Glastonbury Emerging Talent Competition winner merges thought-provoking, storytelling lyrics with smooth, soulful hip-hop beats."
JAYDA G,"Jayda G is a Canadian DJ and producer known for her house music, which often features soulful and disco influences, and her energetic, uplifting DJ sets."
JEREMIAH ASIAMAH,"Jeremiah Asiamah is known for his eclectic approach to electronic music, blending genres like house, garage, and Afrobeat to create energetic and infectious dance tracks."
JESCA HOOP,"Jesca Hoop is an avant-garde singer-songwriter who blends elements of folk, indie rock, and experimental music. Her eclectic style and thought-provoking lyrics make her a unique presence in the music world."
JESSICA WILDE,"Jessica Wilde is a singer-songwriter who blends elements of soul, pop, and hip-hop in her music. Her work is known for its confessional lyrics and versatile vocal style."
JESSIE REID,"Bringing an indie folk-influenced, percussive fingerstyle technique to his songs that’s drawn comparisons to Ben Howard and Nick Mulvey."
JESSIE WARE,‘That! Feels Good!’ was the album where Jessie Ware was unveiled as the high priestess of euphoric pop disco. Expect a high-camp extravaganza.
JFB,"JFB is a British DJ and producer renowned for his impressive turntablism skills and his contributions to the drum and bass and breakbeat genres. He has won several DJ competitions and is celebrated for his dynamic, high-energy sets."
JOB JOBSE,The Dutch DJ adventuring far into electronic music while promoting his own legendary Strangelove nights.
JOE GODDARD,"Joe Goddard is an English musician, DJ, and producer who is a member of the band Hot Chip and one-half of the duo 2 Bears. His solo work spans multiple genres, including house, electro, and pop, characterized by a blend of rich production techniques and catchy melodies."
JOHN E VISTIC,"John E Vistic is a rock artist whose music is characterized by a blend of Americana, blues, and punk, often delivering high-energy performances."
JOHN SMITH,A transatlantic blend of fingerstyle and slide guitar steeped in the lineage of British folk and American guitar music.
JOHNNY FLYNN,"Singer, composer, musician and actor currently appearing as Richard Burton in Jack Thorne’s sell-out play The Motive and the Cue, directed by Sam Mendes."
JON HOPKINS - RITUAL - IMMERSIVE ALBUM LISTENING EXPERIENCE,"By turns devotional, empowering and nurturing, Jon Hopkins’ forthcoming new album RITUAL is a 41-minute ceremonial epic built from cavernous subs, hypnotic drumming and transcendent melodic interplay. Tense, immersive and ultimately triumphant, it is a culmination of themes explored throughout his 22-year career, and acts as the kinetic counterpart to 2021’s Music For Psychedelic Therapy."
JORDAN MACKAMPA,Soulful singer songwriter calling on his Congolese roots and a love of rap and old skool funk.
JORDAN RAKEI,"His latest release, ‘The Loop’ is an album of deep emotional thrust, expansive widescreen soundscapes and deeply irresistible grooves."
JOSEPHINE GYASI,With strong influences from UK Bass Culture and the African continent.
JOSH PARKINSON,"Josh Parkinson is a DJ and producer known for his work in the house and electronic music scenes. His tracks often feature infectious beats, deep basslines, and dynamic drops."
JOSH ROUSE,"The American singer songwriter returns with a distinctive 1980s, electronic feel to his new repertoire."
JOSHUA JAMES,"Joshua James is a prominent figure in the UK's house and techno scene. Known for his energetic and dynamic DJ sets, he seamlessly fuses deep house grooves with the driving rhythms of techno, creating an infectious dance floor experience."
JOY ORBISON,"DJ, producer and one of the most respected and influential electronic artists of his generation."
JUDY COLLINS,Iconic 60s folk legend and master of the aching ballad with a very special set to celebrate 60 years of majestic performances.
JULIAN ANTHONY,"Julian Anthony is known for his contributions to the house and tech-house genres. His tracks often incorporate groovy basslines and crisp percussion, making them staples in dance music sets."
JUNGLE,"Back with their biggest album to date, spawning such huge tunes as ‘Back on ’74’ and ‘Dominoes’, Josh Lloyd-Watson and Tom McFarland will bring the party to West Holts."
JUST JAM,Just Jam's sound hails from Manchester and is inspired by long seasons in Ibiza. He is a co-founder of the label BEEYOU RECORDS and key player for Game Over.
JUSTICE,"Gaspard Augé & Xavier de Rosnay’s last performance on West Holts was the stuff of legend, they return with another blockbusting release, ‘Hyperdrama’ and a bigger, bolder, brighter show."
JYOTY X LIL SILVA X SAMPHA,Rinse FM’s Joyoty with the soulful Sampha and his sparring partner Lil Silva.
K KLASS,"Responsible for some of the biggest UK house tracks and countless remixes (Pet Shop Boys, Whitney Houston, Blondie, Bobby Brown)."
K LONE,"K Lone is known for producing electronic music that spans several genres, including house, techno, and ambient. His sound is characterized by rich textures and innovative rhythms."
K MOTIONZ,Young DnB powerhouse who's set to take the UK Drum & Bass scene by storm.
K MOTIONZ B2B FRICTION,The new face of Drum and bass hooks up with the Shogun label’s boss man and scene setter Friction.
KANE,"Kane is a rock band from the Netherlands, known for their alternative rock sound. They gained significant popularity in the early 2000s with hits such as 'Rain Down on Me' and 'No Surrender.'"
KANGAROO MOON,"Kangaroo Moon fuses elements of folk, rock, and world music, creating a unique sound that is both eclectic and accessible. Their live performances are known for their energy and improvisational flair, often incorporating various traditional instruments."
KANINE,"Supported by some of the biggest and most influential names in Drum & Bass, the young Londoner known as Kanine has risen to new heights in recent years"
KAPTAIN,"Kaptain is a producer known for his work in the electronic music scene, specifically within the sub-genre of electro-funk. His music often features groovy basslines and nostalgic, synth-driven melodies."
KARA JACKSON,"Award-winning poet, singer-songwriter, and producer inspired by her family's heritage in the American South and her experiences growing up in Chicago."
KATALYST,"Katalyst is a prominent figure in the Australian hip-hop and electronic music scenes. His music often features complex beats and collaborations with various artists, bringing a unique, groove-infused sound to his productions."
KATE NASH,"BRIT Award-winning singer-songwriter, musician and actress whose unapologetic storytelling and electrifying live performances are legend."
KATHRYN ROBERTS,"Kathryn Roberts is a prominent figure in the British folk music scene. She is celebrated for her rich vocals and compelling storytelling, often performing alongside her husband, Sean Lakeman."
KATY B,"Katy B is a British singer and songwriter associated with the dubstep, UK garage, and house music scenes, known for her powerful voice and danceable tracks."
KEANE,"Twenty years on from their enormo-selling hook-laden ‘Hopes And Fears’ debut album, Keane return with their trademarked swooning pop."
KEEQ,"KeeQ has released music through Armada Music, Circus Recordings, Saved Records, Abracadabra, and Hurry Up Slowly with seen prime time radio support on Radio 1, and Kiss."
KELLY LEE OWENS,"Fusing electronic music’s changing temperature vocal, songwriting and production as confident and captivating as her beats."
KENYA GRACE,Electronic R&B and soul singer songwriter who hit big last year with ‘Strangers’.
KETTAMA,"Kettama is an emerging talent in the house and techno scenes, known for his energetic and bass-heavy productions that have garnered widespread attention across the electronic music community."
KEYRAH,Labelled as Mixmag's 
KI/KI,"Ki/Ki is a rising talent in the electronic music scene, known particularly for her work within the sub-genre of trance. Her sets are characterized by high energy, euphoric melodies, and driving beats."
KIKO BUN,"Kiko Bun is a British singer and songwriter known for his contemporary twist on classic reggae music. Fusing elements of reggae, hip-hop, and soul, he brings a fresh yet nostalgic sound to the genre, making reggae accessible to a new generation of listeners."
